code,updated_at,roe,gross_margin,debt_ratio,revenue_growth,profit_growth
920961,2026-04-22,0.32,,26.07,,-80.6935
002745,2026-04-22,1.35,,50.8614,,-39.877
603175,2026-04-22,11.19,,72.1429,,-3.6921
002353,2026-04-22,1.7,,34.5524,,-22.4727
301598,2026-04-22,22.05,,65.6998,,18.7293
688536,2026-04-22,2.73,,6.1886,,193.7325
301377,2026-04-22,5.94,,49.7682,,2.0529
300035,2026-04-22,2.71,,49.0176,,91.2167
603383,2026-04-22,0.17,,18.9766,,-78.8293
002600,2026-04-22,1.86,,55.3512,,-35.3426
600241,2026-04-22,2.38,,33.6721,,91.5931
603920,2026-04-22,1.65,,47.3751,,47.7402
002361,2026-04-22,0.25,,41.9403,,-90.3297
603038,2026-04-22,-0.11,,31.225,,-117.0683
300339,2026-04-22,1.02,,33.8892,,19.894
600480,2026-04-22,1.46,,55.983,,0.9549
300745,2026-04-22,0.6,,47.2691,,79.8092
301291,2026-04-22,11.96,,72.2008,,40.0533
301529,2026-04-22,9.64,,46.9005,,17.9104
002161,2026-04-22,-2.82,,46.5319,,-19.7123
300971,2026-04-22,1.48,,24.9643,,-35.0251
002595,2026-04-22,3.49,,11.8912,,-3.7672
603633,2026-04-22,1.34,,43.1442,,16.7817
688367,2026-04-22,0.02,,18.4595,,-7.7526
300319,2026-04-22,1.15,,30.4462,,-30.3072
002862,2026-04-22,0.37,,25.8535,,-14.8093
300383,2026-04-22,1.46,,29.3121,,-14.0965
688485,2026-04-22,-2.67,,22.9424,,-265.0092
603668,2026-04-22,2.04,,59.265,,40.1753
603031,2026-04-22,5.86,,47.4217,,17299.336
300134,2026-04-22,-0.65,,26.4957,,-632.7065
688778,2026-04-22,5.25,,68.8198,,82.4237
920050,2026-04-22,10.52,,27.5226,,-37.1275
600482,2026-04-22,0.19,,40.8314,,-51.6556
300598,2026-04-22,-3.99,,34.21,,-662.3507
300800,2026-04-22,1.75,,9.7071,,-36.7722
000988,2026-04-22,2.97,,47.5861,,95.2065
688192,2026-04-22,-7.95,,10.8425,,
600360,2026-04-22,0.79,,53.3155,,136.3938
688270,2026-04-22,0.35,,2.3529,,-27.3587
300022,2026-04-22,-2.66,,82.4108,,22.3308
688798,2026-04-22,1.5,,14.6679,,73.6566
301183,2026-04-22,3.3,,35.732,,-18.713
000977,2026-04-22,2.16,,69.9334,,43.6154
300738,2026-04-22,2.64,,70.5842,,46.9664
600488,2026-04-22,0.75,,39.9179,,-60.6568
603093,2026-04-22,0.92,,90.4227,,-15.7117
688781,2026-04-22,-15.86,,30.8087,,
301120,2026-04-22,1.98,,10.4393,,54.4184
002270,2026-04-22,1.94,,22.2373,,54.3307
603236,2026-04-22,3.71,,61.8734,,104.506
300913,2026-04-22,2.4,,19.9205,,6.9146
603881,2026-04-22,0.38,,63.4869,,-63.2676
000338,2026-04-22,1.45,,61.9755,,-70.0221
603938,2026-04-22,8.81,,32.7805,,191.9167
300400,2026-04-22,0.88,,36.2402,,-81.384
301580,2026-04-22,5.25,,16.695,,104.2944
603826,2026-04-22,1.54,,46.1999,,-38.5373
300203,2026-04-22,-1.71,,62.0599,,-430.5024
600166,2026-04-22,1.27,,79.1488,,-63.6519
920344,2026-04-22,0.61,,13.7662,,18.7224
300179,2026-04-22,4.21,,19.316,,82.3102
300442,2026-04-22,-3.64,,66.2701,,-720.3899
002647,2026-04-22,-6.28,,89.3122,,-113250.7236
000810,2026-04-22,4.39,,57.7006,,32.451
002021,2026-04-22,11.6,,90.8556,,61.5191
920924,2026-04-22,0.3,,50.243,,-79.2994
688218,2026-04-22,-0.57,,46.0026,,-248.1497
300571,2026-04-22,6.99,,62.9536,,35.9543
000070,2026-04-22,0.36,,69.7908,,121.747
688127,2026-04-22,1.44,,11.1331,,-43.9126
002293,2026-04-22,3.79,,32.0301,,-12.7493
603558,2026-04-22,3.54,,41.4528,,74.0825
600845,2026-04-22,4.78,,46.3043,,15.6412
301505,2026-04-22,5.2,,38.5609,,5.1809
920139,2026-04-22,2.31,,16.3005,,-37.4739
002887,2026-04-22,1.29,,50.1683,,-46.4427
688312,2026-04-22,0.74,,8.7356,,-61.8948
300460,2026-04-22,0.44,,40.406,,-87.4465
